timestamp,symbol,score,classification,rsi,rvol,price_change_2w,vs_btc,persistence
2025-11-16T15:43:01.105581,ASTERUSDT,60,MODERATE,63.8,0.55,20.5,33.89,SPIKE
2025-11-16T15:43:01.105591,ICPUSDT,55,WEAK,54.8,0.76,45.65,59.04,SPIKE
2025-11-16T15:43:01.105600,USD1USDT,50,WEAK,66.7,1.63,0.05,13.44,EMERGING
2025-11-16T15:55:23.497925,STRKUSDT,100,STRONG,70.7,3.25,93.33,106.64,ESTABLISHED
2025-11-16T15:55:23.497961,DCRUSDT,80,STRONG,58.6,1.7,106.8,120.11,SPIKE
2025-11-16T15:55:23.497976,LAUSDT,80,STRONG,58.8,4.2,43.53,56.84,SPIKE
2025-11-16T15:55:23.497988,DASHUSDT,70,MODERATE,62.2,1.57,20.76,34.07,EMERGING
2025-11-16T15:55:23.498001,0GUSDT,60,MODERATE,66.5,1.14,29.93,43.24,SPIKE
2025-11-16T15:55:23.498012,ASTERUSDT,60,MODERATE,64.3,0.55,20.6,33.91,SPIKE
2025-11-16T15:55:23.498024,ICPUSDT,55,WEAK,55.9,0.76,46.17,59.48,SPIKE
2025-11-16T15:55:23.498036,USD1USDT,50,WEAK,66.7,1.63,0.05,13.36,EMERGING
2025-11-16T15:58:27.231553,STRKUSDT,100,STRONG,71.0,3.25,93.83,107.1,ESTABLISHED
2025-11-16T15:58:27.231591,DCRUSDT,80,STRONG,59.3,1.7,107.93,121.2,SPIKE
2025-11-16T15:58:27.231607,LAUSDT,80,STRONG,59.4,4.2,43.93,57.2,SPIKE
2025-11-16T15:58:27.231618,DASHUSDT,70,MODERATE,61.5,1.58,20.22,33.49,EMERGING
2025-11-16T15:58:27.231630,0GUSDT,60,MODERATE,66.7,1.14,30.11,43.38,SPIKE
2025-11-16T15:58:27.231640,ASTERUSDT,60,MODERATE,64.9,0.55,20.71,33.98,SPIKE
2025-11-16T15:58:27.231651,ICPUSDT,55,WEAK,55.9,0.76,46.17,59.44,SPIKE
2025-11-16T15:58:27.231661,USD1USDT,50,WEAK,66.7,1.63,0.05,13.32,EMERGING
2025-11-16T16:08:55.734045,STRKUSDT,100,STRONG,68.5,3.15,92.74,106.05,ESTABLISHED
2025-11-16T16:08:55.734081,DCRUSDT,85,STRONG,60.6,1.66,105.42,118.73,SPIKE
2025-11-16T16:08:55.734093,LAUSDT,80,STRONG,55.2,3.8,43.54,56.85,SPIKE
2025-11-16T16:08:55.734102,ASTERUSDT,60,MODERATE,63.2,0.53,20.35,33.66,SPIKE
2025-11-16T16:08:55.734112,ICPUSDT,60,MODERATE,62.6,0.73,53.66,66.97,SPIKE
2025-11-16T16:08:55.734121,0GUSDT,55,WEAK,57.1,1.14,29.14,42.45,SPIKE
2025-11-16T16:08:55.734132,ZECUSDT,55,WEAK,51.9,0.99,63.78,77.09,SPIKE
2025-11-16T16:08:55.734141,DASHUSDT,50,WEAK,62.5,1.51,5.38,18.69,EMERGING
2025-11-16T16:19:37.996849,STRKUSDT,100,STRONG,67.5,3.19,89.6,102.82,ESTABLISHED
2025-11-16T16:19:37.996898,DCRUSDT,80,STRONG,56.9,1.67,99.66,112.88,SPIKE
2025-11-16T16:19:37.996914,LAUSDT,80,STRONG,57.0,3.81,45.03,58.25,SPIKE
2025-11-16T16:19:37.996929,ASTERUSDT,60,MODERATE,63.9,0.53,20.56,33.78,SPIKE
2025-11-16T16:19:37.996942,ICPUSDT,60,MODERATE,64.2,0.73,54.7,67.92,SPIKE
2025-11-16T16:19:37.996954,0GUSDT,55,WEAK,57.4,1.15,29.33,42.55,SPIKE
2025-11-16T16:19:37.996967,UNIUSDT,55,WEAK,53.3,0.67,27.71,40.93,SPIKE
2025-11-16T16:19:37.996980,ZECUSDT,55,WEAK,51.8,1.0,63.7,76.92,SPIKE
2025-11-16T16:19:37.996999,DASHUSDT,50,WEAK,61.5,1.52,4.24,17.46,EMERGING
2025-11-16T16:33:17.007078,STRKUSDT,100,STRONG,66.9,3.22,88.37,101.68,ESTABLISHED
2025-11-16T16:33:17.007171,DCRUSDT,80,STRONG,57.6,1.68,100.78,114.09,SPIKE
2025-11-16T16:33:17.007190,LAUSDT,80,STRONG,56.9,3.84,44.93,58.24,SPIKE
2025-11-16T16:33:17.007207,ASTERUSDT,60,MODERATE,64.2,0.53,20.66,33.97,SPIKE
2025-11-16T16:33:17.007222,ICPUSDT,60,MODERATE,63.7,0.74,54.38,67.69,SPIKE
2025-11-16T16:33:17.007237,0GUSDT,55,WEAK,56.8,1.16,28.96,42.27,SPIKE
2025-11-16T16:33:17.007252,UNIUSDT,55,WEAK,56.6,0.68,28.73,42.04,SPIKE
2025-11-16T16:33:17.007267,ZECUSDT,55,WEAK,52.9,1.0,64.63,77.94,SPIKE
2025-11-16T16:33:17.007281,DASHUSDT,50,WEAK,62.5,1.53,5.31,18.62,EMERGING
2025-11-16T16:33:17.007296,NEARUSDT,45,WEAK,50.2,0.8,13.61,26.92,SPIKE
2025-11-16T16:46:46.714143,STRKUSDT,100,STRONG,66.9,3.23,88.37,101.7,ESTABLISHED
2025-11-16T16:46:46.714175,DCRUSDT,80,STRONG,56.9,1.69,99.72,113.05,SPIKE
2025-11-16T16:46:46.714186,LAUSDT,80,STRONG,56.3,3.86,44.43,57.76,SPIKE
2025-11-16T16:46:46.714195,ASTERUSDT,60,MODERATE,64.5,0.54,20.77,34.1,SPIKE
2025-11-16T16:46:46.714203,ICPUSDT,60,MODERATE,64.1,0.74,54.64,67.97,SPIKE
2025-11-16T16:46:46.714211,UNIUSDT,60,MODERATE,63.2,0.71,31.26,44.59,SPIKE
2025-11-16T16:46:46.714218,0GUSDT,55,WEAK,58.6,1.17,30.07,43.4,SPIKE
2025-11-16T16:46:46.714226,ZECUSDT,55,WEAK,51.5,1.0,63.4,76.73,SPIKE
2025-11-16T16:46:46.714233,DASHUSDT,50,WEAK,62.6,1.53,5.46,18.79,EMERGING
2025-11-16T16:46:46.714241,NEARUSDT,45,WEAK,51.2,0.82,13.88,27.21,SPIKE
2025-11-16T16:59:42.219535,STRKUSDT,100,STRONG,66.0,3.25,86.88,100.21,ESTABLISHED
2025-11-16T16:59:42.219571,DCRUSDT,80,STRONG,57.3,1.69,100.34,113.67,SPIKE
2025-11-16T16:59:42.219580,LAUSDT,80,STRONG,55.1,3.87,43.46,56.79,SPIKE
2025-11-16T16:59:42.219587,ASTERUSDT,60,MODERATE,66.7,0.54,21.6,34.93,SPIKE
2025-11-16T16:59:42.219594,ICPUSDT,60,MODERATE,62.9,0.74,53.87,67.2,SPIKE
2025-11-16T16:59:42.219600,UNIUSDT,60,MODERATE,62.6,0.74,31.01,44.34,SPIKE
2025-11-16T16:59:42.219606,0GUSDT,55,WEAK,53.9,1.18,27.37,40.7,SPIKE
2025-11-16T16:59:42.219613,ZECUSDT,55,WEAK,50.3,1.01,62.42,75.75,SPIKE
2025-11-16T16:59:42.219619,DASHUSDT,50,WEAK,62.4,1.53,5.25,18.58,EMERGING
2025-11-16T16:59:42.219648,SYRUPUSDT,50,WEAK,62.6,0.87,1.41,14.74,EMERGING
2025-11-16T17:13:06.420333,STRKUSDT,100,STRONG,65.1,3.17,82.4,95.8,ESTABLISHED
2025-11-16T17:13:06.420388,LAUSDT,90,STRONG,53.2,3.7,38.73,52.13,EMERGING
2025-11-16T17:13:06.420409,DCRUSDT,80,STRONG,56.1,1.65,86.86,100.26,SPIKE
2025-11-16T17:13:06.420426,0GUSDT,60,MODERATE,60.4,1.16,27.43,40.83,SPIKE
2025-11-16T17:13:06.420443,ASTERUSDT,60,MODERATE,67.4,0.52,21.59,34.99,SPIKE
2025-11-16T17:13:06.420459,ICPUSDT,60,MODERATE,61.8,0.71,55.53,68.93,SPIKE
2025-11-16T17:13:06.420475,RESOLVUSDT,60,MODERATE,85.4,0.81,219.39,232.79,SPIKE
2025-11-16T17:13:06.420492,UNIUSDT,60,MODERATE,68.5,0.75,32.39,45.79,SPIKE
2025-11-16T17:13:06.420508,ZECUSDT,55,WEAK,56.0,0.94,60.87,74.27,SPIKE
2025-11-16T17:13:06.420525,SYRUPUSDT,50,WEAK,71.0,0.84,1.24,14.64,EMERGING
2025-11-16T17:13:06.420541,NEARUSDT,45,WEAK,53.3,0.7,13.35,26.75,SPIKE
2025-11-16T17:26:35.676539,STRKUSDT,100,STRONG,65.1,3.2,82.23,95.71,ESTABLISHED
2025-11-16T17:26:35.676592,LAUSDT,90,STRONG,54.8,3.71,39.87,53.35,EMERGING
2025-11-16T17:26:35.676612,DCRUSDT,80,STRONG,55.8,1.66,86.24,99.72,SPIKE
2025-11-16T17:26:35.676630,0GUSDT,60,MODERATE,60.2,1.17,27.24,40.72,SPIKE
2025-11-16T17:26:35.676647,ASTERUSDT,60,MODERATE,65.9,0.53,20.97,34.45,SPIKE
2025-11-16T17:26:35.676663,ICPUSDT,60,MODERATE,66.8,0.73,59.07,72.55,SPIKE
2025-11-16T17:26:35.676680,RESOLVUSDT,60,MODERATE,86.7,0.88,231.09,244.57,SPIKE
2025-11-16T17:26:35.676697,UNIUSDT,60,MODERATE,62.9,0.77,29.97,43.45,SPIKE
2025-11-16T17:26:35.676713,ZECUSDT,60,MODERATE,60.5,0.95,65.07,78.55,SPIKE
2025-11-16T17:26:35.676731,FILUSDT,55,WEAK,52.5,0.78,24.47,37.95,SPIKE
2025-11-16T17:26:35.676747,SYRUPUSDT,50,WEAK,70.0,0.85,1.06,14.54,EMERGING
2025-11-16T17:26:35.676764,FETUSDT,45,WEAK,54.4,0.46,10.55,24.03,SPIKE
2025-11-16T17:26:35.678561,NEARUSDT,45,WEAK,54.3,0.71,13.63,27.11,SPIKE
2025-11-16T17:39:46.455453,STRKUSDT,100,STRONG,61.4,3.24,75.64,89.11,ESTABLISHED
2025-11-16T17:39:46.455516,LAUSDT,90,STRONG,56.7,3.72,41.09,54.56,EMERGING
2025-11-16T17:39:46.455538,DCRUSDT,80,STRONG,56.1,1.67,86.81,100.28,SPIKE
2025-11-16T17:39:46.455559,0GUSDT,60,MODERATE,60.2,1.18,27.24,40.71,SPIKE
2025-11-16T17:39:46.455578,ASTERUSDT,60,MODERATE,67.4,0.53,21.59,35.06,SPIKE
2025-11-16T17:39:46.455597,ICPUSDT,60,MODERATE,65.7,0.75,58.22,71.69,SPIKE
2025-11-16T17:39:46.455616,RESOLVUSDT,60,MODERATE,88.4,1.0,249.71,263.18,SPIKE
2025-11-16T17:39:46.455707,UNIUSDT,60,MODERATE,60.9,0.79,29.44,42.91,SPIKE
2025-11-16T17:39:46.455728,ZECUSDT,60,MODERATE,60.4,0.95,64.98,78.45,SPIKE
2025-11-16T17:39:46.455746,SYRUPUSDT,50,WEAK,71.4,0.86,1.37,14.84,EMERGING
2025-11-16T17:53:29.629544,STRKUSDT,100,STRONG,63.2,3.26,78.78,92.25,ESTABLISHED
2025-11-16T17:53:29.629599,LAUSDT,90,STRONG,54.9,3.73,39.95,53.42,EMERGING
2025-11-16T17:53:29.629620,DCRUSDT,80,STRONG,56.6,1.67,87.85,101.32,SPIKE
2025-11-16T17:53:29.629638,ASTERUSDT,60,MODERATE,67.2,0.54,21.49,34.96,SPIKE
