timestamp,symbol,consecutive_cycles_top15,consecutive_cycles_high_rvol,classification,fade_risk_pct
1763211221.2743282,ZEC,10,0,ESTABLISHED,35
1763211221.2743282,HYPE,10,0,ESTABLISHED,35
1763211221.2743282,XRP,10,0,ESTABLISHED,35
1763211221.2743282,ASTER,10,0,ESTABLISHED,35
1763211221.2743282,PUMP,10,0,ESTABLISHED,35
1763211221.2743282,LTC,10,0,ESTABLISHED,35
1763211221.2743282,STRK,2,0,EMERGING,50
1763211221.2743282,FARTCOIN,10,0,ESTABLISHED,35
1763211221.2743282,NEAR,2,0,EMERGING,50
1763211221.2743282,UNI,10,0,ESTABLISHED,35
1763211221.2743282,SUI,4,0,ESTABLISHED,35
1763211221.2743282,DOGE,10,0,ESTABLISHED,35
1763211221.2743282,XPL,10,0,ESTABLISHED,35
1763211221.2743282,ENA,2,0,EMERGING,50
1763211221.2743282,AVAX,1,0,SPIKE,70
